0.284 0.235 0.235 0.407 0.321 0.309 0.519 0.481 0.309 0.383
0.194 0.194 0.177 0.226 0.242 0.113 0.226 0.484 0.113 0.226
0.308 0.308 0.306 0.319 0.340 0.296 0.294 0.500 0.296 0.259
0.140 0.164 0.159 0.193 0.256 0.130 0.382 0.440 0.135 0.285
0.170 0.227 0.250 0.159 0.193 0.205 0.386 0.375 0.205 0.364
0.086 0.086 0.095 0.238 0.200 0.086 0.190 0.352 0.086 0.200
0.169 0.193 0.174 0.213 0.246 0.155 0.353 0.430 0.155 0.406
0.120 0.396 0.396 0.414 0.421 0.366 0.394 0.329 0.366 0.382
0.013 0.027 0.027 0.188 0.120 0.013 0.211 0.873 0.013 0.229
0.005 0.007 0.007 0.061 0.060 0.005 0.073 0.073 0.005 0.072
0.009 0.009 0.011 0.047 0.038 0.009 0.040 0.038 0.009 0.038
0.001 0.003 0.003 0.035 0.035 0.001 0.045 0.073 0.001 0.104
0.042 0.049 0.046 0.163 0.170 0.041 0.193 0.857 0.041 0.349
nan nan nan nan nan nan nan nan nan nan
0.388 0.441 0.409 0.388 0.399 0.374 0.377 0.537 0.363 0.427
0.064 0.155 0.148 0.515 0.512 0.064 0.572 0.923 0.064 0.633
0.256 0.302 0.291 0.395 0.291 nan 0.360 0.267 nan 0.279
0.159 0.114 0.091 0.205 0.227 0.159 0.227 0.318 0.159 0.205
0.108 0.120 0.122 0.306 0.345 0.108 0.283 0.769 0.108 0.365
0.219 0.266 0.266 0.422 0.750 0.250 0.625 0.750 0.250 0.750
0.270 0.293 0.290 0.307 0.600 nan 0.313 0.313 nan 0.687
0.278 0.261 0.278 0.513 0.374 nan 0.526 0.370 nan 0.374
0.111 0.111 0.111 0.111 0.200 0.111 0.022 0.689 0.111 0.200
0.225 0.125 0.125 0.725 0.625 0.225 0.725 0.675 0.225 0.675
0.029 0.028 0.028 0.048 0.044 0.029 0.066 0.099 0.029 0.079
0.080 0.016 0.021 0.128 0.118 0.080 0.128 0.588 0.080 0.134
0.254 0.299 0.254 0.328 0.313 0.254 0.328 0.299 0.299 0.299
0.207 0.241 0.207 0.552 0.603 0.276 0.690 0.672 0.276 0.672
0.165 0.155 0.157 0.163 0.168 0.165 0.162 0.676 0.165 0.165
